11.22.63,https://www.hulu.com/watch/323e55f8-86ca-49fe-bb48-4fa703b8ef83,"High school teacher Jake Epping is shown a secret time portal by his best friend,41,*******
Arrival,https://www.amazon.com/gp/video/detail/B01M4QRQD5/ref=atv_hm_hom_1_c_D4dtpS_5_1,"When mysterious spacecraft touch down across the globe,0,***
Deadpool 2,https://www.hulu.com/movie/deadpool-2-27e84e56-31d3-4813-91ba-602cb52890f1,"Wisecracking anti-hero Deadpool joins a montly collection ..",120,*****
Maleficent , Mistress Of Evil,https://www.disneyplus.com/movies/maleficent-mistress-of-evil/5qvekLRRLhIl,121,******
The Lord of the Rings: The Fellowship of the Ring,https://www.hulu.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring-1ac0b42c-6f5b-4d7f-8376-863e0d58efa3,"A shy young hobbit,172,*********
The Mandalorian,https://www.disneyplus.com/series/the-mandalorian/3jLIGMDYINqD,"After the fall of the Galactic Empire,40,******
